,solID,nrmse,decomp.rssd,MAPE_train,KL_Divergence,,CD,CE,CF,DE,DF,EF 
1,1_1_1,0.214958863,0.70888345,0.383396098,1.635927126,,0.208837739,0.999241675,0.976465336,0.211290143,0.206240738,0.970267434
2,1_1_2,0.217746342,0.724178168,0.388386234,1.740461635,,,,,,,
3,1_1_3,0.21657075,0.730978372,0.386521972,1.687180431,,,,,,,
4,1_1_4,0.224522134,0.663296954,0.400895845,2.071175566,,,,,,,
5,1_1_5,0.214613704,0.710177528,0.382626131,1.617239311,,,,,,,
6,1_1_6,0.218736647,0.707576241,0.390301624,1.776835569,,,,,,,
7,1_1_7,0.221115771,0.723797581,0.394761161,1.881319212,,,,,,,
8,1_1_8,0.217109517,0.72086248,0.387402965,1.712834927,,,,,,,
9,1_1_9,0.220774377,0.711274924,0.394248016,1.871524384,,,,,,,
10,1_2_1,0.221828172,0.773826513,0.39603114,1.918830884,,,,,,,
11,1_2_2,0.20744412,0.723188009,0.369657077,1.415823462,,,,,,,
12,1_2_3,0.200110963,0.735113506,0.356331489,1.269474253,,,,,,,
13,1_2_4,0.215571312,0.735407711,0.384629992,1.656225109,,,,,,,
14,1_2_5,0.219035405,0.679762359,0.390998092,1.795997073,,,,,,,
15,1_2_6,0.210735325,0.737660386,0.375283027,1.497573061,,,,,,,
16,1_2_7,0.21933095,0.700399297,0.391604528,1.807739971,,,,,,,
17,1_2_8,0.216573435,0.688126477,0.386492772,1.687494535,,,,,,,
18,1_2_9,0.218646623,0.705342023,0.390023621,1.76635188,,,,,,,
19,1_3_1,0.214964499,0.708782,0.383514578,1.63400871,,,,,,,
20,1_3_2,0.217258674,0.763702995,0.387723389,1.711247625,,,,,,,
21,1_3_3,0.205652059,0.703123825,0.366253147,1.374518916,,,,,,,
22,1_3_4,0.216586946,0.672209045,0.386475097,1.693548433,,,,,,,
23,1_3_5,0.210394275,0.703277412,0.375252992,1.500221013,,,,,,,
24,1_3_6,0.219636612,0.677143866,0.392087779,1.825748556,,,,,,,
25,1_3_7,0.207599181,0.704141232,0.369951088,1.418789299,,,,,,,
26,1_3_8,0.184602598,0.722363071,0.327211668,1.009548933,,,,,,,
27,1_3_9,0.219392344,0.634541349,0.391580087,1.805401238,,,,,,,
28,1_4_1,0.21195794,0.717664917,0.377986518,1.531072797,,,,,,,
29,1_4_2,0.221496717,0.636870192,0.395516285,1.917223016,,,,,,,
30,1_4_3,0.220989437,0.716092291,0.394563173,1.880553813,,,,,,,
31,1_4_4,0.216390271,0.684418102,0.386080182,1.686431299,,,,,,,
32,1_4_5,0.219589244,0.719087016,0.392023409,1.813800745,,,,,,,
33,1_4_6,0.170198854,0.735029748,0.2996263,0.813643192,,,,,,,
34,1_4_7,0.224417772,0.66168919,0.400689121,2.064995888,,,,,,,
35,1_4_8,0.1961988,0.704121558,0.34859899,1.180551653,,,,,,,
36,1_4_9,0.218437984,0.556135681,0.389789892,1.767700627,,,,,,,
37,1_5_1,0.22065528,0.710113454,0.393854756,1.858335258,,,,,,,
38,1_5_2,0.223035014,0.587405559,0.398101713,1.980483772,,,,,,,
39,1_5_3,0.220625078,0.567196794,0.393787569,1.848845808,,,,,,,
40,1_5_4,0.221052864,0.663779334,0.394549346,1.865141146,,,,,,,
41,1_5_5,0.207650307,0.723788216,0.369796508,1.412536683,,,,,,,
42,1_5_6,0.208916592,0.717517397,0.372004198,1.444320684,,,,,,,
43,1_5_7,0.218307455,0.676170768,0.389664642,1.757099885,,,,,,,
44,1_5_8,0.219532821,0.712450218,0.391938536,1.815116432,,,,,,,
45,1_5_9,0.221907706,0.626153223,0.395978864,1.911311416,,,,,,,
46,1_6_1,0.218912673,0.699141588,0.390798128,1.787287655,,,,,,,
47,1_6_2,0.219995867,0.671197775,0.392514815,1.832301555,,,,,,,
48,1_6_3,0.05377584,0.562248901,0.063775018,0.016583561,,,,,,,
49,1_6_4,0.214981276,0.690851375,0.383477414,1.632790943,,,,,,,
50,1_6_5,0.217286052,0.752531701,0.387787029,1.714937612,,,,,,,
51,1_6_6,0.205546914,0.648907324,0.366012489,1.370341973,,,,,,,
52,1_6_7,0.209373298,0.662501754,0.373228525,1.468336622,,,,,,,
53,1_6_8,0.199470915,0.707489588,0.354700221,1.253900052,,,,,,,
54,1_6_9,0.22006544,0.748652943,0.392888946,1.8391557,,,,,,,
55,1_7_1,0.210212574,0.721693332,0.374372783,1.487464206,,,,,,,
56,1_7_2,0.184324615,0.697483136,0.327061662,1.00563062,,,,,,,
57,1_7_3,0.219623158,0.656869065,0.391962958,1.809659754,,,,,,,
58,1_7_4,0.208617345,0.576079278,0.371749998,1.449574252,,,,,,,
59,1_7_5,0.221685965,0.642670041,0.395800174,1.919096922,,,,,,,
60,1_7_6,0.220993631,0.660012999,0.394553525,1.884585241,,,,,,,
61,1_7_7,0.214894682,0.588170831,0.383374595,1.641372309,,,,,,,
62,1_7_8,0.219913121,0.709901591,0.392507681,1.833661532,,,,,,,
63,1_7_9,0.223076037,0.745691825,0.398341525,1.977880879,,,,,,,
64,1_8_1,0.21879497,0.684523462,0.39032215,1.778499381,,,,,,,
