,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,train_size,rsq_train,rsq_val,rsq_test,nrmse_train,nrmse_val,nrmse_test,nrmse,decomp.rssd,mape,lambda,lambda_hp,lambda_max,lambda_min_ratio,solID,trial,iterNG,iterPar,iterations,robynPareto,total_spend,mean_spend,mean_spend_adstocked,mean_carryover,mean_response,spend_share,effect_share,roi_mean,roi_total,cpa_total,cluster,top_sol,boot_mean,boot_se,ci_low,ci_up,carryover_pct
1,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
2,trend,0.235540021,65905733.52,0.228083404,419781.7422,0.124450164,65905733.52,0.228083404,419781.7422,0.124450164,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
3,season,0.243346297,89086.55132,0.000308306,567.4302632,0.000168223,89086.55132,0.000308306,567.4302632,0.000168223,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
4,holiday,1,6959499.542,0.024085102,278379.9817,0.082529636,6959499.542,0.024085102,278379.9817,0.082529636,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
5,competitor_sales_B,0.217664472,189637326.4,0.65628777,1207881.06,0.358093219,189637326.4,0.65628777,1207881.06,0.358093219,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
6,events,1.026776466,1306888.563,0.004522817,1306888.563,0.387445377,1306888.563,0.004522817,1306888.563,0.387445377,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
7,tv_S,331835.3237,9158741.643,0.031696134,58335.93403,0.017294503,9158741.643,0.031696134,58335.93403,0.017294503,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,2591412.147,16505.80985,23670.06891,7164.259055,59085.49664,0.206047363,0.423691078,3.579678742,3.534266695,0.282944126,2,FALSE,4.254456847,0.086203945,3.236593087,5.281895619,0.239042002
8,ooh_S,186415.1055,8092822.077,0.028007251,51546.63744,0.015281721,8092822.077,0.028007251,51546.63744,0.015281721,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,8239693.867,52482.12654,86139.44989,33657.32335,61224.186,0.655151359,0.374380744,1.166572127,0.982175091,1.018148402,2,FALSE,0.963804794,0.046400009,0.413138522,1.514040066,0.691827336
9,print_S,367317.7592,3422958.663,0.011846011,21802.28448,0.006463592,3422958.663,0.011846011,21802.28448,0.006463592,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,601634.9778,3832.069922,4637.565696,805.4957737,5942.912738,0.047836968,0.158348942,1.550836195,5.689427625,0.175764605,2,FALSE,6.866818895,0.089765414,5.801716336,7.931519415,0.018407624
10,facebook_S,22680.23945,883436.1014,0.003057353,5626.981538,0.001668197,883436.1014,0.003057353,5626.981538,0.001668197,TRUE,1,0.951839043,NA,NA,0.048987213,NA,NA,0.048987213,0.377391286,0,16321.78829,0.000149274,65481090.25,1.00E-04,1_141_9,1,141,9,1269,2,334078.022,2127.88549,2451.305779,323.4202888,7343.161424,0.026563083,0.040868496,3.450919449,2.644400539,0.378157539,2,FALSE,2.266333255,0.198023223,0,4.623588652,0.156192452
