"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,22,1.60399078564083,0.151463700903935,"[0.13, 3.08]",0.126453840988937,3.0812845259678,0.694093874430435,0.0438688730690882
"2","facebook_S",2,34,2.26633325477716,0.198023222955351,"[0, 4.62]",0,4.62358865179174,1.13755680973638,0.0696838613259041
"3","facebook_S",3,47,0.962085782751757,0.0806410742731462,"[0, 2.07]",0,2.07464029787353,0.546934375914191,0.032005141916181
"4","facebook_S",4,25,1.71321512945138,0.247741409904582,"[0, 4.27]",0,4.26891016259544,1.21368008484783,0.0676390942655667
"5","ooh_S",1,22,1.19797741480972,0.0114153833649574,"[1.09, 1.31]",1.08661850226476,1.3093155897271,0.0523118583568569,0.00330627074925307
"6","ooh_S",2,34,0.963804794250815,0.0464000092350522,"[0.41, 1.51]",0.413138521741395,1.51404006576358,0.2665477598507,0.0165050208456928
"7","ooh_S",3,47,1.35569554975004,0.00697980375426004,"[1.26, 1.45]",1.25930154075024,1.45194017342001,0.0473393322788482,0.0029021949214896
"8","ooh_S",4,25,1.56202999775412,0.0508108615002906,"[1.04, 2.09]",1.03856549203031,2.08725013168561,0.248921368133877,0.0156214886456875
"9","print_S",1,22,6.12004619646223,0.0851813176380285,"[5.29, 6.95]",5.28697111985714,6.94873146006839,0.390349835872343,0.0246713132520801
"10","print_S",2,34,6.86681889463808,0.0897654136750388,"[5.8, 7.93]",5.80171633606379,7.93151941463703,0.515663042348662,0.0319305976087935
"11","print_S",3,47,6.83473595074168,0.0159427012117994,"[6.61, 7.05]",6.61483743468014,7.05484696369151,0.108128660440795,0.00662895807972693
"12","print_S",4,25,6.71024421516273,0.0489492820945844,"[6.21, 7.22]",6.20747988509184,7.21774341416921,0.239801528814569,0.0150491574414799
"13","search_S",1,22,0.736500406439378,0.129107258709135,"[0, 1.99]",0,1.990128229047,0.591643785802857,0.0320547050570981
"14","search_S",2,34,0.314615166675571,0.0427858856312853,"[0, 0.82]",0,0.822902619021215,0.245786200396529,0.0132775254526694
"15","search_S",3,47,1.38795213084781,0.0642459489798239,"[0.5, 2.27]",0.500428584244619,2.27358040939324,0.435737226060196,0.026713396740091
"16","search_S",4,25,2.77587077755328,0.301192489124405,"[0, 5.89]",0,5.89045887566359,1.47553582542713,0.089308389156746
"17","tv_S",1,22,3.60610712339644,0.124569673178791,"[2.39, 4.82]",2.39191903646716,4.82208739053328,0.570849956637718,0.0360794774478944
"18","tv_S",2,34,4.25445684712997,0.0862039452047913,"[3.24, 5.28]",3.23659308680954,5.28189561888461,0.495203963607655,0.0306637420130341
"19","tv_S",3,47,2.42381636999634,0.0544929402060249,"[1.67, 3.18]",1.67255502973766,3.1765293334618,0.369589102227975,0.0226581061432333
"20","tv_S",4,25,1.89617744172722,0.0519373211761208,"[1.36, 2.43]",1.36042477480679,2.43235839950888,0.254439870977087,0.0159678117844067
