"","ds","dep_var","trend","season","holiday","competitor_sales_B","events","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","intercept","depVarHat","solID","cluster","top_sol"
"1",2016-01-04,2171506.66666667,546857.831421714,244522.000560249,0,1340776.28330808,0,2745.68841043379,95060.4605275233,11220.9962779911,8765.23973352719,2904.84776700242,43582.4886739204,0,2296435.83668044,"3_169_6",1,FALSE
"2",2016-01-11,2464131.66666667,547237.815001229,179684.474328083,0,1432631.33781944,0,531.855075732214,71649.1194621696,204461.852524892,9928.81188039386,3620.72219110437,38362.926299752,0,2488108.9145828,"3_169_6",1,FALSE
"3",2016-01-18,2012520,547617.798555786,118968.583213922,0,1288716.38353331,0,30.4812488597345,51504.9020511368,5595.81190247249,8399.76091274434,2288.01769099591,37195.0291771646,0,2060316.76828639,"3_169_6",1,FALSE
"4",2016-01-25,1738911.66666667,547997.782110343,85306.520423915,0,1064143.01539091,0,1.74467833643262,35606.7325897658,50531.2708701316,5957.61343420462,1991.74287754192,30523.8336405986,0,1822060.25601574,"3_169_6",1,FALSE
"5",2016-02-01,1772306.66666667,548377.765664899,70437.4735350894,0,1053512.72382014,0,3729.28128297314,54112.6864207551,879.967971870829,111.309696972509,1622.4405332007,20922.8115213471,0,1753706.46044725,"3_169_6",1,FALSE
"6",2016-02-08,1809058.33333333,548757.749219456,53667.0105190985,0,1128953.84378645,0,215.492725975896,37595.9036134575,6075.16390234999,5015.3917882619,1485.50605737358,18804.0326986644,0,1800570.09431109,"3_169_6",1,FALSE
"7",2016-02-15,1952740,549137.732774013,25088.62284953,0,1119419.14740633,0,102700.797459295,25321.6742056987,2128.80582285913,1425.87663110547,74.7899278933868,29365.1323693349,0,1854662.57944606,"3_169_6",1,FALSE
"8",2016-02-22,1507805,549517.71632857,-12023.471326173,0,966431.265409651,0,7969.4803729865,16675.7091398006,33.2670952582297,22.4189952447493,3.70147511769988,33421.2551327049,0,1562051.34262316,"3_169_6",1,FALSE
"9",2016-02-29,1510391.66666667,549897.699860692,-52558.5380522329,0,876921.772737389,0,52149.8505014067,10812.6116021707,0.517569083632083,1866.56985767637,552.626523691204,10343.9949901258,0,1449987.10559,"3_169_6",1,FALSE
"10",2016-03-07,1588840,550277.683392814,-93753.6337336695,0,960488.637135717,0,3443.63033143132,6938.4328578959,97654.857114737,29.807321269783,1271.40234655413,11490.4396988861,0,1537841.25646564,"3_169_6",1,FALSE
"11",2016-03-14,1605990,550657.666924935,-129823.953961115,0,949419.069374285,0,10456.2879804273,51919.7321732747,1913.66928862056,0.446845655650069,1135.66610191324,8520.43480287163,0,1444199.01953087,"3_169_6",1,FALSE
"12",2016-03-21,1356010,551037.650457057,-152811.90446232,19115.7732509877,869013.840088312,0,614.877797721964,35921.8376667168,29.8914964610295,0.00669217395539736,1042.40101591269,9844.43636002583,0,1333808.81036305,"3_169_6",1,FALSE
"13",2016-03-28,2103936.66666667,551417.633989179,-164583.390520746,993888.969287878,866425.282579625,0,35.246868303619,62461.1275585614,65098.5542489225,14226.2166074106,1199.9062535782,13486.9716775804,0,2403656.51855029,"3_169_6",1,FALSE
"14",2016-04-04,1120835,551797.617521301,-182059.531786166,0,718702.755325271,0,2.01747627889666,44099.3690113384,1174.05815850697,421.288458305497,793.79053264178,14205.7334080731,0,1149137.09810555,"3_169_6",1,FALSE
"15",2016-04-11,1141140,552177.601053423,-220603.164085271,0,724551.184328558,0,0.115467418867096,63906.2790713526,18.3100765153013,6.39911368364238,679.342019930874,6855.87463149479,0,1127591.94167711,"3_169_6",1,FALSE
"16",2016-04-18,1166880,552557.584629722,-270887.442082415,0,704261.622648329,0,1319.60744256336,45246.6079762803,0.284858964898814,1665.82761321354,606.612697234775,14271.9204163837,0,1049042.62620028,"3_169_6",1,FALSE
"17",2016-04-25,888806.666666667,552937.568206021,-301120.298582503,342813.567419684,569132.576662377,0,75.7810370505809,30912.5142753624,0.0044315239461211,26.4133532846723,595.622515804675,10674.4889473767,0,1206048.23826598,"3_169_6",1,FALSE
"18",2016-05-02,898873.333333333,553317.55178232,-290143.374280194,-70004.4627307004,550179.491164872,0,4.33803885535778,20565.7552952449,52777.5482507742,0.395921414385162,342.428576328588,8338.57170084554,0,825378.24371976,"3_169_6",1,FALSE
"19",2016-05-09,889373.333333334,553697.535358619,-255807.778616299,0,565477.26047447,0,0.248283028282234,55157.0126302583,923.989477788933,0.00592949813920804,350.488372202348,3897.36595889066,0,923696.127868457,"3_169_6",1,FALSE
"20",2016-05-16,1915375,554077.518934918,-241506.101607734,320208.161853809,584256.173442983,0,0.0142100658680437,38398.0648436884,14.4024980794233,4760.36654541219,17.4039879842735,22865.0552510944,0,1283091.0599603,"3_169_6",1,FALSE
