,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,train_size,rsq_train,rsq_val,rsq_test,nrmse_train,nrmse_val,nrmse_test,nrmse,decomp.rssd,MAPE_train,mape,lambda,lambda_hp,lambda_max,lambda_min_ratio,solID,trial,iterNG,iterPar,iterations,robynPareto,total_spend,mean_spend,mean_spend_adstocked,mean_carryover,mean_response,spend_share,effect_share,roi_mean,roi_total,cpa_total,cluster,top_sol,boot_mean,boot_se,ci_low,ci_up,carryover_pct
1,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,1,0.951671876,NA,NA,0.049072156,NA,NA,0.049072156,0.626145207,0.048867263,0,6821.334715,4.17E-06,65481090.25,1.00E-04,1_109_6,1,109,6,978,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
2,trend,0.208061287,58216993.02,0.201475886,370808.8728,0.109060215,58216993.02,0.201475886,370808.8728,0.109060215,TRUE,1,0.951671876,NA,NA,0.049072156,NA,NA,0.049072156,0.626145207,0.048867263,0,6821.334715,4.17E-06,65481090.25,1.00E-04,1_109_6,1,109,6,978,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
3,season,0.215477761,78884.17,0.000273,502.4469427,0.000147777,78884.17,0.000273,502.4469427,0.000147777,TRUE,1,0.951671876,NA,NA,0.049072156,NA,NA,0.049072156,0.626145207,0.048867263,0,6821.334715,4.17E-06,65481090.25,1.00E-04,1_109_6,1,109,6,978,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
4,holiday,1,6959499.542,0.024085259,278379.9817,0.08187555,6959499.542,0.024085259,278379.9817,0.08187555,TRUE,1,0.951671876,NA,NA,0.049072156,NA,NA,0.049072156,0.626145207,0.048867263,0,6821.334715,4.17E-06,65481090.25,1.00E-04,1_109_6,1,109,6,978,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
5,competitor_sales_B,0.226096245,196983398.1,0.681715124,1254671.326,0.369016855,196983398.1,0.681715124,1254671.326,0.369016855,TRUE,1,0.951671876,NA,NA,0.049072156,NA,NA,0.049072156,0.626145207,0.048867263,0,6821.334715,4.17E-06,65481090.25,1.00E-04,1_109_6,1,109,6,978,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
6,events,1.048092822,1334020.175,0.004616743,1334020.175,0.392354491,1334020.175,0.004616743,1334020.175,0.392354491,TRUE,1,0.951671876,NA,NA,0.049072156,NA,NA,0.049072156,0.626145207,0.048867263,0,6821.334715,4.17E-06,65481090.25,1.00E-04,1_109_6,1,109,6,978,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
7,tv_S,397847.3708,11205358.51,0.038779219,71371.71023,0.020991445,11205358.51,0.038779219,71371.71023,0.020991445,TRUE,1,0.951671876,NA,NA,0.049072156,NA,NA,0.049072156,0.626145207,0.048867263,0,6821.334715,4.17E-06,65481090.25,1.00E-04,1_109_6,1,109,6,978,50,2591412.147,16505.80985,24857.1397,8351.329848,83957.96819,0.206047363,0.501527009,5.086570665,4.32403565,0.231265438,4,FALSE,4.179310028,0.072098619,3.421227238,4.935532882,0.340425693
8,ooh_S,232765.9928,5916463.943,0.020475548,37684.48371,0.011083548,5916463.943,0.020475548,37684.48371,0.011083548,TRUE,1,0.951671876,NA,NA,0.049072156,NA,NA,0.049072156,0.626145207,0.048867263,0,6821.334715,4.17E-06,65481090.25,1.00E-04,1_109_6,1,109,6,978,50,8239693.867,52482.12654,82420.6765,29938.54997,45221.34492,0.655151359,0.264807812,0.861652298,0.718044146,1.392672033,4,FALSE,0.838892644,0.024128268,0.585220348,1.091992503,0.522254428
9,print_S,307890.8742,4831053.298,0.016719186,30771.04012,0.009050205,4831053.298,0.016719186,30771.04012,0.009050205,TRUE,1,0.951671876,NA,NA,0.049072156,NA,NA,0.049072156,0.626145207,0.048867263,0,6821.334715,4.17E-06,65481090.25,1.00E-04,1_109_6,1,109,6,978,50,601634.9778,3832.069922,4729.391717,897.3217952,26112.46119,0.047836968,0.216227237,6.814192256,8.029874387,0.124534949,4,FALSE,7.19738652,0.184642716,5.256607698,9.134705656,0.107740089
10,facebook_S,12062.72232,389606.9108,0.001348342,2481.57268,0.000729866,389606.9108,0.001348342,2481.57268,0.000729866,TRUE,1,0.951671876,NA,NA,0.049072156,NA,NA,0.049072156,0.626145207,0.048867263,0,6821.334715,4.17E-06,65481090.25,1.00E-04,1_109_6,1,109,6,978,50,334078.022,2127.88549,2387.255309,259.3698183,3462.248913,0.026563083,0.017437942,1.627084225,1.16621533,0.85747458,4,FALSE,1.184142,0.108654192,0.038690608,2.320782265,0.301903729
11,search_S,0,0,0,0,0,0,0,0,0,TRUE,1,0.951671876,NA,NA,0.049072156,NA,NA,0.049072156,0.626145207,0.048867263,0,6821.334715,4.17E-06,65481090.25,1.00E-04,1_109_6,1,109,6,978,50,809960,5158.980892,6034.859522,875.8786298,0,0.064401227,0,0,0,Inf,4,FALSE,0.74473846,0.147064081,0,2.293675852,0
