"","solID","mape","MAPE_train","KL_Divergence","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"1","1_51_2",0,0.0405674704359275,0.00297115774738651,0.63426986858958,0.0358379983025748,0.0358379983025748,0.862445158352185,0.244617016469665,0.0603424874988597,0.948728175330032,0.522513049216156,0.386897873646644,0.991100852745775,0.684250831029045,0.599495243155699,0.304971059199109,0.321125953129555,0.48301737322094,0.248583248409744,0.914981030986198,0.224056167470791,0.534765507927481,0.0732845710467171,0.441322932693593,2,32,FALSE
"2","1_77_2",0,0.0394264890466562,0.00312497940198868,0.622336183144895,0.0352077001898934,0.0352077001898934,0.788729423497689,0.22471689411901,0.10880291197638,0.607523021188861,0.552011011742375,0.434814950765133,0.195836032909774,0.955772300844826,0.642331543831267,0.403183258052992,0.454982799231316,0.526706603280721,0.30833683338345,0.982506226375416,0.250412182456246,0.531113311320049,0.179198104947937,0.407928712859337,1,23,FALSE
"3","1_84_5",0,0.0414438056941482,0.00285713415088128,0.650455000670322,0.0359385682061622,0.0359385682061622,0.862445158352185,0.244617016469665,0,0.938296233384147,0.431036719364744,0.386897873646644,0.991100852745775,0.684250831029045,0.599495243155699,0.0362137027647231,0.460106824921658,0.505766826516633,0.248583248409744,0.914981030986198,0.224056167470791,0.548045165094608,0.200319460864549,0.441322932693593,2,32,FALSE
"4","1_121_6",0,0.0415595159452931,0.00307349428220804,0.685011449879795,0.0365643639658396,0.0365643639658396,0.977174322937243,0.0670922822837725,0.27195224104403,0.774135051095129,0.51121103179944,0.591576806820678,0.980570237963425,0.818613009823136,0.64965440277074,0.495767818677147,0.406324411720738,0.338196746447282,0.337875241400268,0.964956020483427,0.538198532359017,0.446389143317869,0.168606816629984,0.418256587257102,2,32,FALSE
"5","1_123_5",0,0.0376513527295546,0.00226745656444072,0.683658683211686,0.0347435286414079,0.0347435286414079,0.630793365223058,0.427159725951468,0.220710811271169,0.538939468071383,0.646274436783143,0.318996635009556,0.80554313738683,0.947878543123616,0.20450873846734,0.899986112902045,0.406051907148789,0.773443043644755,0.26970082869732,0.818935213070168,0.765693385870383,0.632523540805101,0.144067886049006,0.291436506105535,2,32,FALSE
"6","1_126_6",0,0.040495200514423,0.00269529942865532,0.573016079694077,0.0364827920958424,0.0364827920958424,0.092435165941711,0.762482997238946,0.838202839857651,0.752623669535179,0.666700844015768,0.0888501308065425,0.736995096301315,0.151329593070433,0.0179106887286901,0.559384997202327,0.0840697835115601,0.679419802842894,0.186246323623705,0.485659065659802,0.729633264817355,0.269434182446226,0.155381724468696,0.446169550697017,3,23,FALSE
"7","1_129_7",0,0.0368044872053817,0.00221146011626014,0.62347477042822,0.0341332614967073,0.0341332614967073,0.833530275093863,0.0303727199603299,0.185666938119169,0.560869118458964,0.54600882188384,0.144248109562564,0.981778590772073,0.993733447243454,0.245895886748473,0.905437619669334,0.487710080260072,0.409365718263723,0.172191029519348,0.971646422998031,0.771882550521146,0.563315714878608,0.219970720036609,0.0194850343853771,2,32,FALSE
"8","1_129_9",0,0.0399350435952348,0.00286026451351286,0.572335757902286,0.0362816757000783,0.0362816757000783,0.092435165941711,0.762482997238946,0.722815088722409,0.752623669535179,0.666700844015768,0.0888501308065425,0.736995096301315,0.151329593070433,0.0179106887286901,0.788215447999045,0.0840697835115601,0.679419802842894,0.186246323623705,0.485659065659802,0.729633264817355,0.357226630044867,0.155381724468696,0.446169550697017,3,23,FALSE
"9","1_131_6",0,0.0425042401045457,0.00237163003724195,0.656138544708059,0.0372851861023785,0.0372851861023785,0.258141813047394,0.435678753019075,0.128542007908462,0.774135051095129,0.51121103179944,0.591576806820678,0.980570237963425,0.589361246127899,0.408202712826843,0.0187918953383799,0.406324411720738,0.338196746447282,0.337875241400268,0.660035929667414,0.120324934547182,0.409939883667552,0.168606816629984,0.418256587257102,2,32,FALSE
"10","1_135_3",0,0.0400759525966205,0.00292143264497637,0.52761942108318,0.0358798892664445,0.0358798892664445,0.769821934741624,0.505909329074093,0.0480718961859135,0.648930443551476,0.763390349632257,0.252598840056312,0.0299233256076226,0.473031805406903,0.123773064378051,0.864187551271906,0.366381853684695,0.72422840994673,0.638532579916159,0.82772320030287,0.998102657735965,0.644198795289624,0.499905743672135,0.694513029931139,2,32,FALSE
"11","1_137_2",0,0.0404457859730047,0.0026948999402557,0.696161411129113,0.0359208951010043,0.0359208951010043,0.788729423497689,0.209029312564081,0.595564046708519,0.128972428115971,0.44319410268224,0.509441475155931,0.195836032909774,0.792531483794629,0.732172524563094,0.538834536749664,0.590193416229993,0.175003352824713,0.30833683338345,0.944542014790485,0.55777220647553,0.52067664148637,0.729181569806718,0.0939538157275695,1,23,FALSE
"12","1_143_3",0,0.0399068456200228,0.00285833110475404,0.473594713584051,0.0362701627774643,0.0362701627774643,0.092435165941711,0.762482997238946,0.722815088722409,0.752623669535179,0.673699354766691,0.0888501308065425,0.736995096301315,0.151329593070433,0.0179106887286901,0.788215447999045,0.308255212397509,0.679419802842894,0.024987013566137,0.485659065659802,0.729633264817355,0.357226630044867,0.0866556596327384,0.446169550697017,3,23,FALSE
"13","1_146_3",0,0.0390467254708793,0.00269714171087517,0.567283534966063,0.0354403876021838,0.0354403876021838,0.251390453664536,0.402800230828646,0.264867361839694,0.886653353173011,0.419160440384049,0.0919700367863383,0.387331604458203,0.067701444046532,0.166275322324997,0.138501663880625,0.761770237471294,0.49882686068404,0.0974262110788079,0.950503696561634,0,0.454769879868163,0.415156481912137,0.557166142059217,1,23,FALSE
"14","1_151_5",0,0.0358653584610986,0.00205141067038385,0.575481761911717,0.0342817027650076,0.0342817027650076,0.557030831417583,0.270191894604137,0.94821378614379,0.675017285337839,0.462039029365364,0.0161072275415411,0.717652046617947,0.813212290526046,0.289440363404973,0.628071913400041,0.329880528961079,0.418282107002577,0.070808048638155,0.922908941762101,0.62481219416123,0.558359708166387,0.283296033467819,0.578910075101989,4,22,FALSE
"15","1_155_8",0,0.039823159046102,0.0031111520889171,0.597763445392672,0.0359349969432353,0.0359349969432353,0.750945739735107,0.571197279647342,0.107903407004324,0.416313624884008,0.502580874916192,0.421132127428958,0.170472168351385,0.401360129179146,0.238720217026858,0.0529735705206488,0.368289560332215,0.631307534820058,0.0266642499248988,0.487652790102645,0.370003380173996,0.720310978952774,0.352070891748997,0.202673695807748,1,23,FALSE
"16","1_160_5",0,0.0374305841041328,0.00245506747174984,0.679727947177662,0.0339239166657733,0.0339239166657733,0.605050490571999,0.136503760232386,0.121834814492273,0.328999595615745,0.0829962523238999,0.00402785134202903,0,0.955772300844826,1,0.0700832814803201,0.622626314879544,0.0681336318457899,0.42132539887331,0.952586928881821,0.14666433521695,0.615360806869381,0.202206289860213,0.0154271228888034,1,23,FALSE
"17","1_162_2",0,0.0377145870275281,0.00216118026385604,0.666005454864751,0.0351791045312119,0.0351791045312119,0.363276858496388,0.0793144105947104,0.192128412209411,0.674288677418356,0.869977934851931,0.245629428862417,0.820388694283514,0.814031860730173,0.0758888379464868,0.966517312994396,0,0.60849256446924,0.0648818381256086,0.894284081586875,0.639203940611898,0.295598161544322,0.232135867761473,0.336996503936364,2,32,FALSE
"18","1_163_8",0,0.0371309616955322,0.00210552456729799,0.584853825215498,0.034935184091786,0.034935184091786,0.605050490571999,0.17778667215175,0.171416636119927,0.109931813819645,0.352507052482796,0.445246430226692,0,0.955772300844826,0.0685143100757179,0.681629534383871,0.596016594923816,0.38443476460941,0.42132539887331,0.952586928881821,0.259658596947491,0.582474414322778,0.923930520146224,0.43761485959223,1,23,FALSE
"19","1_165_7",0,0.0378118672308442,0.00303552930004873,0.697310707856356,0.0346886884606964,0.0346886884606964,0.0153878040933587,0.199036655435334,0.639552675682948,0.109566820704,0.486077961955094,0.203699513427903,0.017033671980867,0.898876292657613,0.257750569940429,0.606484948821337,0.00917965782528963,0.435986002661727,0.11437313496793,0.894399628105925,0.491061456458299,0.339039332815348,0.0702918734016344,0.540453152464431,1,23,FALSE
"20","1_169_1",0,0.037810379322595,0.0031135808571822,0.697308372565877,0.0346884418880969,0.0346884418880969,0.0153878040933587,0.199036655435334,0.639552675682948,0.109566820704,0.486077961955094,0.203699513427903,0.017033671980867,0.898876292657613,0.257750569940429,0.606484948821337,0.00917965782528963,0.435986002661727,0.15102856116226,0.894399628105925,0.491061456458299,0.339039332815348,0.0702918734016344,0.540453152464431,1,23,FALSE
"21","1_170_4",0,0.0364830466816334,0.00303861622654455,0.58277881740524,0.0341206756782733,0.0341206756782733,0.365864193585581,0.391280884523396,0.242469411124755,0.769865334156931,0.509396274663588,0.101005907562667,0.662917620965387,0.951866075526939,0.308631968978178,0.681453140665329,0.52021540398074,0.431907999925128,0.532267998807773,0.832710652042844,0.891403481782,0.85979838376721,0.262637794091419,0.477339907646327,2,32,FALSE
"22","1_173_1",0,0.0354052062269624,0.00312819030223588,0.712552796091871,0.0337268505729754,0.0337268505729754,0.348965327012549,0.0303727199603299,0.0237446586049398,0.59771485114131,0.552100227169044,0.0668709958919883,0.524285819237446,0.803676246563986,0.245895886748473,0.57912597989599,0.229915773697103,0.559944448926468,0.0679754054819742,0.971646422998031,0.771882550521146,0.289247462209754,0.208186922045244,0.142832937223364,1,23,FALSE
"23","1_177_1",0,0.0365211187017257,0.00310641065186216,0.572348353082774,0.0342509070813572,0.0342509070813572,0.365864193585581,0.391280884523396,0.444221956012068,0.581139882635141,0.416528732297441,0.101005907562667,0.662917620965387,0.951866075526939,0.308631968978178,0.666169981846551,0.400066439430392,0.446917631745651,0.532267998807773,0.832710652042844,0.577269798864588,0.602942114318049,0.474102709163237,0.477339907646327,2,32,FALSE
"24","1_177_2",0,0.0356470623637718,0.00290468842697774,0.562206849678783,0.0339685183863076,0.0339685183863076,0.738609375680356,0.17778667215175,0.171416636119927,0.109931813819645,0.282889498545028,0.175410647061213,0.213246325348776,0.955772300844826,0.0685143100757179,0.681629534383871,0.596016594923816,0.38443476460941,0.135020366905175,0.952586928881821,0.259658596947491,0.582474414322778,0.832599411474027,0.43761485959223,1,23,FALSE
"25","1_179_1",0,0.0375654924445152,0.00283136946770155,0.636183275269305,0.0353526215583735,0.0353526215583735,0.627514474766336,0.199036655435334,0.639552675682948,0.57684376169912,0.620224093589392,0.372404764760095,0.445817558104205,0.898876292657613,0.257750569940429,0.606484948821337,0.930378507191577,0.402132873005779,0.374232296405419,0.894399628105925,0.491061456458299,0.47123243095951,0.0307423480620186,0.0136605220886156,1,23,FALSE
"26","1_182_1",0,0.0352898312985568,0.00309109677639963,0.651090587358236,0.0333011247729115,0.0333011247729115,0.566270241311667,0.0443627908879836,0.24493705799702,0.734084841993937,0.543179709221536,0.0979233352007002,0.444853814887797,0.789979217799783,0.547704364544528,0.783026037634467,0.316194542834954,0.419439161829734,0.123997969583638,0.95149869401569,0.894506191452786,0.793247341448595,0.723306665912036,0.114982885703759,1,23,FALSE
"27","1_184_1",0,0.0397368634004482,0.00304308268625836,0.555001935405531,0.0355696126895404,0.0355696126895404,0.902798546288607,0,0.996733977763302,0.18783275607747,0.55249346774124,0.117515803105254,0.112642538985538,0.908578342406231,0.295706840300641,0.923719121151045,0.578287889072889,0.512146943291643,0.468839671401771,0.896830147849684,0.125498422211397,0.481659345595114,0.14103481625805,0.677009193479881,1,23,FALSE
"28","1_186_4",0,0.0360543197910045,0.00285633279219173,0.656359733918949,0.0343428652473899,0.0343428652473899,0.136621592924214,0.304945218641302,0.496294357509507,0.59771485114131,0.548192373427309,0,0.392161635999544,0.798218738424807,0.140345636491637,0.57912597989599,0.229915773697103,0.654559866244691,0.213599302647161,0.993286105581299,0.307889931043542,0.289247462209754,0.107916318127241,0.161164234971693,1,23,FALSE
"29","1_187_2",0,0.0354861047292682,0.00224196239547558,0.591892820900724,0.0336346482759007,0.0336346482759007,0.41027775209331,0.00455773895389488,0.178925055118165,0.109931813819645,0.282889498545028,0.175410647061213,0.0321458353645816,0.893102170258659,0.386519139769825,0.647464732743953,0.596016594923816,0.38443476460941,0.000206922575570376,0.935672747838945,0.229602596016568,0.582474414322778,0.832599411474027,0.43761485959223,1,23,TRUE
"30","1_187_3",0,0.0378583054553152,0.00304886840740014,0.516432793851985,0.0350161618053166,0.0350161618053166,0.730822526022602,0.0257185199438473,0.964625775585757,0.713984317468263,0.56148569403041,0.257660250051583,0.373979066479997,0.907441345351154,0.065091492836844,0.9008482308685,0.799437385450568,0.530011807923717,0.435235512935981,0.929372640857635,0.23756503911014,0.61307986726693,0.547304244317423,0.410493070102438,1,23,FALSE
"31","1_194_3",0,0.0359498705232611,0.00145209898903635,0.560652535476913,0.0342410100690437,0.0342410100690437,0.541185808824587,0.311359676784919,0.672139326488438,0.530708166148156,0.430645547804272,0.0366303718602501,0.859077159817135,0.990047565833568,0.032745548640154,0.458343126614425,0.420405350719734,0.190946652279502,0.0334688751625488,0.678450027607313,0.846467629399088,0.763761931966491,0.697552386219565,0.680534823178202,4,22,TRUE
"32","1_199_4",0,0.0367620248568689,0.00290554798101087,0.581395111431827,0.0346559068226723,0.0346559068226723,0.674466009165235,0.698269243699332,0.952850133042918,0.339831953444016,0.451873941026481,0.137763861923523,0.750044251606059,0.833673212760091,0.141377970880728,0.32588065487116,0.579920497200369,0.221574604766177,0.0603778540378835,0.743224420427201,0.251689332216256,0.656365250741682,0.295012745920143,0.429932592086578,4,22,FALSE
"33","1_202_2",0,0.0345925445910556,0.00282547097985053,0.591896807610045,0.0335921571422213,0.0335921571422213,0.873812531861291,0.0993663887981373,0.200390255307258,0.386651496341191,0.329016318087008,0.0821724792845643,0.13758220330852,0.894565651526436,0.137830086144905,0.442947527273594,0.670123271351103,0.29474120661739,0.221756919108185,0.856944886965263,0.906504619773788,0.584873827368883,0.664284845582933,0.16596648482418,1,23,FALSE
"34","1_204_8",0,0.0401187950595128,0.00301491627713831,0.662441408445138,0.0354739132299396,0.0354739132299396,0.658350092099562,0.296176039595261,0.319859984607907,0.564349693781165,0.384044379188796,0.189565249938475,0.996524384371542,0.849897421830972,0.219287677323448,0.878407652506729,0.844293097401646,0.0204289628372667,0.356914038141203,0.918382246500013,0.62708161012922,0.45476415279013,0.807380523005417,0.33290354304752,2,32,FALSE
"35","1_205_5",0,0.0345487784204735,0.00248093510845706,0.591778672241391,0.0335471807462232,0.0335471807462232,0.643060220140754,0.0993663887981373,0.200390255307258,0.386651496341191,0.329016318087008,0.0821724792845643,0.13758220330852,0.95973558201269,0.137830086144905,0.442947527273594,0.670123271351103,0.29474120661739,0.221756919108185,0.849497600535358,0.906504619773788,0.584873827368883,0.664284845582933,0.16596648482418,1,23,FALSE
"36","1_208_5",0,0.036042297334112,0.00198332022485224,0.573740378294327,0.0338369271172143,0.0338369271172143,0.51583135952353,0.219768906432223,0.194376733486039,0.537279607280589,0.630936272218226,0.0608715725002615,0.730393291539082,0.830592278364605,0.280471884395778,0.922363478109957,0.831618389246759,0.502772665941203,0.135847038744675,0.942828237698394,0.614254207140916,0.383066175604302,0.0350750270731321,0.258236239949557,2,32,TRUE
"37","1_214_3",0,0.0382222256980133,0.00230789400090916,0.494423060616046,0.0353244748234165,0.0353244748234165,0.748610624219007,0.640040950286276,0.957553932068902,0.375238262928303,0.506223129370204,0.176816213168152,0.959489908475215,0.82305887909402,0.0250533736457457,0.250494787441262,0.96743740947714,0.428122767555355,0.15298564561014,0.681663396388306,0.378656113599062,0.676104211521333,0,0.686316380091846,4,22,FALSE
"38","1_214_8",0,0.0392596031878514,0.00310679313808745,0.49489641562301,0.0352486429778184,0.0352486429778184,0.743800106910683,0.282778800110932,0.481782264184689,0.263419694031904,0.374767800899468,0.0638675136431443,0.558860564821887,0.8743418384516,0.157745999590177,0.871778095819024,0.776087467584808,0.721328613286512,0.459453758099555,0.903362011459397,0.876379223100528,0.856184716825414,0.767891664078609,0.634815678922716,2,32,FALSE
"39","1_215_9",0,0.0353498872206575,0.00297222899438262,0.576336256790258,0.0336597453592878,0.0336597453592878,0.732160523975217,0.143694555144259,0.770055178375137,0.0810306225754994,0.308778047489016,0.120452274933766,0.28715790672571,0.81428659962638,0.227480193637807,0.75461116881925,0.980155052369108,0.314749388211351,0.116078335633055,0.777952696379996,0.451560987178925,0.861042742640968,0.944001985530872,0.497836179872708,1,23,FALSE
"40","1_216_1",0,0.0389017983469111,0.00302911337025737,0.474988376601501,0.0353552385089794,0.0353552385089794,0.978504802689483,0.578621775767986,0.793339108377842,0.498048586481722,0.47270152796039,0.0795873652508786,0.660159447618986,0.920515808294726,0.0517216354294931,0.769334268486053,0.579920497200369,0.783813272786097,0.21074894984081,0.775344597173139,0.267985359392093,0.585613736538933,0.295012745920143,0.410861840410164,2,32,FALSE
"41","1_220_3",0,0.0362217899278162,0.00243934315915993,0.679491451771911,0.0343495544912162,0.0343495544912162,0.490247164747313,0.26214541000513,0.435548438340952,0.468793967042111,0.547621949362213,0.0473437079571593,0.408292434474119,0.768093214192229,0.167229986022993,0.542822175355976,0.00926572301326496,0.472884246115609,0.414383240481975,0.86255502215953,0.267901031675272,0.239106011601433,0.15880933735943,0.294990416656564,1,23,FALSE
"42","1_220_7",0,0.0370060858689605,0.00261364695905234,0.579668852890932,0.0348634345036883,0.0348634345036883,0.380571946545054,0.996973946480689,0.701257923221354,0.776191039618994,0.381748488953426,0.13616435599501,0.851753071217096,0.674569415917398,0.198215848994053,0.421556898187669,0.239753448948485,0.324578372106257,0.00321524479522146,0.641095079674932,0.830389756479251,0.511667642118609,0.695987801566576,0.436900211174045,3,23,FALSE
"43","1_223_6",0,0.0359732249662977,0.00275481432750505,0.571459090108318,0.0341715985446768,0.0341715985446768,0.490247164747313,0.26214541000513,0.566004811482372,0.0190029038079551,0.245808659533877,0.100762888582392,0.408292434474119,0.768093214192229,0.167229986022993,0.394121733828069,0.562035066857724,0.219330653317421,0.414383240481975,0.86255502215953,0.267901031675272,0.490212406213324,0.677237972937591,0.86153152096286,1,23,FALSE
"44","2_155_6",0,0.0422917056085682,0.00221978369790282,0.582100297192782,0.0380923099183045,0.0380923099183045,0.230921023132042,0.310786876895937,0.965486522331398,0.857062262319866,0.628555314264108,0.977961045260565,0.896158095176412,0.439127293710828,0.0354187215791104,0,0.723136963671711,0.937641622288625,0.404172953701552,0.211171043946852,0.499798431360955,1,0.251641486371117,0.768923421558952,4,22,FALSE
"45","2_158_9",0,0.0423029484990996,0.00231119027452831,0.558076436161135,0.0378527969236119,0.0378527969236119,0.230921023132042,0.310786876895937,0.965486522331398,0.794341223297426,0.41384870061524,0.977961045260565,0.896158095176412,0.439127293710828,0.0354187215791104,0,0.834751187647502,0.937641622288625,0.404172953701552,0.211171043946852,0.499798431360955,0.943896610529796,0.722975188387669,0.768923421558952,4,22,FALSE
