,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,train_size,rsq_train,rsq_val,rsq_test,nrmse_train,nrmse_val,nrmse_test,nrmse,decomp.rssd,MAPE_train,KL_Divergence,kl_div_obs_as_base,kl_div_obs_as_target,mape,lambda,lambda_hp,lambda_max,lambda_min_ratio,solID,trial,iterNG,iterPar,iterations,robynPareto,total_spend,mean_spend,mean_spend_adstocked,mean_carryover,mean_response,spend_share,effect_share,roi_mean,roi_total,cpa_total,cluster,top_sol,boot_mean,boot_se,ci_low,ci_up,carryover_pct
1,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,1,0.951698158,NA,NA,0.049058811,NA,NA,0.049058811,0.58821513,0.049575939,0.019900071,0.02850978,0.011290361,0,17400.41727,0.000165749,65481090.25,1.00E-04,2_128_7,2,128,7,1150,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
2,trend,0.25437852,71176876.61,0.246339954,453355.902,0.133912977,71176876.61,0.246339954,453355.902,0.133912977,TRUE,1,0.951698158,NA,NA,0.049058811,NA,NA,0.049058811,0.58821513,0.049575939,0.019900071,0.02850978,0.011290361,0,17400.41727,0.000165749,65481090.25,1.00E-04,2_128_7,2,128,7,1150,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
3,season,0.250187921,91591.19912,0.000316993,583.3834339,0.000172321,91591.19912,0.000316993,583.3834339,0.000172321,TRUE,1,0.951698158,NA,NA,0.049058811,NA,NA,0.049058811,0.58821513,0.049575939,0.019900071,0.02850978,0.011290361,0,17400.41727,0.000165749,65481090.25,1.00E-04,2_128_7,2,128,7,1150,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
4,holiday,1,6959499.542,0.024086513,278379.9817,0.082228315,6959499.542,0.024086513,278379.9817,0.082228315,TRUE,1,0.951698158,NA,NA,0.049058811,NA,NA,0.049058811,0.58821513,0.049575939,0.019900071,0.02850978,0.011290361,0,17400.41727,0.000165749,65481090.25,1.00E-04,2_128_7,2,128,7,1150,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
5,competitor_sales_B,0.216481131,188606355.7,0.652758074,1201314.368,0.354846121,188606355.7,0.652758074,1201314.368,0.354846121,TRUE,1,0.951698158,NA,NA,0.049058811,NA,NA,0.049058811,0.58821513,0.049575939,0.019900071,0.02850978,0.011290361,0,17400.41727,0.000165749,65481090.25,1.00E-04,2_128_7,2,128,7,1150,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
6,events,1.036635159,1319436.778,0.004566511,1319436.778,0.389737303,1319436.778,0.004566511,1319436.778,0.389737303,TRUE,1,0.951698158,NA,NA,0.049058811,NA,NA,0.049058811,0.58821513,0.049575939,0.019900071,0.02850978,0.011290361,0,17400.41727,0.000165749,65481090.25,1.00E-04,2_128_7,2,128,7,1150,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
7,tv_S,325473.0477,9020922.685,0.031221006,57458.10627,0.016972065,9020922.685,0.031221006,57458.10627,0.016972065,TRUE,1,0.951698158,NA,NA,0.049058811,NA,NA,0.049058811,0.58821513,0.049575939,0.019900071,0.02850978,0.011290361,0,17400.41727,0.000165749,65481090.25,1.00E-04,2_128_7,2,128,7,1150,42,2591412.147,16505.80985,23793.68454,7287.874687,56721.5987,0.206047363,0.49570523,3.436462628,3.481083739,0.287266861,4,FALSE,4.243054192,0.112617732,3.121313081,5.361492798,0.235705103
8,ooh_S,170157.1066,3381935.692,0.011704727,21540.99167,0.006362812,3381935.692,0.011704727,21540.99167,0.006362812,TRUE,1,0.951698158,NA,NA,0.049058811,NA,NA,0.049058811,0.58821513,0.049575939,0.019900071,0.02850978,0.011290361,0,17400.41727,0.000165749,65481090.25,1.00E-04,2_128_7,2,128,7,1150,42,8239693.867,52482.12654,68036.98023,15554.85369,22887.52459,0.655151359,0.185839439,0.436101319,0.410444338,2.436383958,4,FALSE,0.359933906,0.011641392,0.243336258,0.474905565,0.197148247
9,print_S,239486.573,4531297.446,0.015682616,28861.76717,0.008525234,4531297.446,0.015682616,28861.76717,0.008525234,TRUE,1,0.951698158,NA,NA,0.049058811,NA,NA,0.049058811,0.58821513,0.049575939,0.019900071,0.02850978,0.011290361,0,17400.41727,0.000165749,65481090.25,1.00E-04,2_128_7,2,128,7,1150,42,601634.9778,3832.069922,4775.508809,943.4388868,23880.98979,0.047836968,0.248997572,6.231877359,7.531638973,0.132773226,4,FALSE,6.790420622,0.24128428,4.384629577,9.184230345,0.102423861
10,facebook_S,20924.38453,723103.3037,0.002502628,4605.753527,0.001360455,723103.3037,0.002502628,4605.753527,0.001360455,TRUE,1,0.951698158,NA,NA,0.049058811,NA,NA,0.049058811,0.58821513,0.049575939,0.019900071,0.02850978,0.011290361,0,17400.41727,0.000165749,65481090.25,1.00E-04,2_128_7,2,128,7,1150,42,334078.022,2127.88549,2555.614104,427.7286139,6086.585414,0.026563083,0.03973497,2.860391427,2.164474333,0.462005941,4,FALSE,3.151647719,0.285028816,0.308673077,5.978435404,0.292583787
