,ds,dep_var,trend,season,holiday,competitor_sales_B,events,tv_S,ooh_S,print_S,facebook_S,search_S,newsletter,intercept,depVarHat,solID,cluster,top_sol
1,04-01-2016,2171506.667,380240.1582,162841.1357,0,1554604.234,0,67664.14016,84897.33227,14968.46547,18450.50339,243.8308351,18273.24504,0,2302183.045,2_156_9,4,FALSE
2,11-01-2016,2464131.667,380504.3677,119662.1318,0,1661108.397,0,33646.65408,16830.21335,178829.8067,19620.20331,339.5357202,9832.695133,0,2420374.005,2_156_9,4,FALSE
3,18-01-2016,2012520,380768.5771,79227.95966,0,1494241.784,0,9005.712716,1409.936252,8035.625307,18374.0027,163.912903,9020.765118,0,2000248.276,2_156_9,4,FALSE
4,25-01-2016,1738911.667,381032.7866,56810.47363,0,1233853.296,0,2292.779557,104.4526559,76896.91023,16540.06595,143.4564571,4984.385794,0,1772658.607,2_156_9,4,FALSE
5,01-02-2016,1772306.667,381296.996,46908.32791,0,1221527.678,0,76055.74409,4951.74765,1570.939346,692.1408621,109.1225756,1720.689143,0,1734833.386,2_156_9,4,FALSE
6,08-02-2016,1809058.333,381561.2055,35739.92083,0,1309000.202,0,22328.66769,376.8544425,14581.70437,17926.8752,99.51865807,1633.8911,0,1783248.839,2_156_9,4,FALSE
7,15-02-2016,1952740,381825.4149,16707.94377,0,1297944.905,0,227219.2805,27.7038987,5465.363795,10356.73655,0.467238976,6439.402979,0,1945987.219,2_156_9,4,FALSE
8,22-02-2016,1507805,382089.6244,-8007.114782,0,1120558.407,0,101887.3076,2.03133166,80.78080958,345.7506139,0.002172727,8009.337897,0,1604966.127,2_156_9,4,FALSE
9,29-02-2016,1510391.667,382353.8338,-35001.72584,0,1016773.878,0,187841.4633,0.148914851,1.169602904,14186.05282,38.60011759,121.8704595,0,1566315.291,2_156_9,4,FALSE
10,07-03-2016,1588840,382618.0433,-62435.88779,0,1113668.045,0,74056.17092,0.010916643,123155.647,541.3897351,97.47347374,533.4298962,0,1632234.322,2_156_9,4,FALSE
