,ds,dep_var,trend,season,holiday,competitor_sales_B,events,tv_S,ooh_S,print_S,facebook_S,search_S,newsletter,intercept,depVarHat,solID,cluster,top_sol
1,04-01-2016,2171506.667,349340.067,164770.175,0,1548067.099,0,59356.99128,98586.38844,10738.6399,13371.5216,396.9502442,19569.13367,0,2264196.966,1_195_6,2,FALSE
2,11-01-2016,2464131.667,349582.8056,121079.6665,0,1654123.411,0,29292.01194,71265.89446,173377.5089,13939.03404,488.9958398,12501.22434,0,2425650.552,1_195_6,2,FALSE
3,18-01-2016,2012520,349825.5441,80166.5054,0,1487958.474,0,7098.786036,48527.21849,5506.487166,13229.66509,302.4360805,11415.15117,0,2004030.268,1_195_6,2,FALSE
4,25-01-2016,1738911.667,350068.2827,57483.45862,0,1228664.924,0,1648.715009,31521.41081,90730.30949,11828.85031,285.5808779,6714.892733,0,1778946.425,1_195_6,2,FALSE
5,01-02-2016,1772306.667,350311.0213,47464.01067,0,1216391.136,0,76258.63918,54610.17223,991.7628502,3052.125702,240.0794142,2537.41511,0,1751856.362,1_195_6,2,FALSE
6,08-02-2016,1809058.333,350553.7598,36163.30104,0,1303495.835,0,20352.56262,35915.29766,18752.56867,10758.65906,228.4540717,2160.195639,0,1778380.634,1_195_6,2,FALSE
7,15-02-2016,1952740,350796.4984,16905.86846,0,1292487.027,0,231740.1556,22747.92781,6300.509379,7160.30101,2.730464439,7236.69742,0,1935377.715,1_195_6,2,FALSE
8,22-02-2016,1507805,351039.2369,-8101.968209,0,1115846.442,0,93042.45226,14042.72196,41.24023523,1483.275812,0.030174902,9497.189222,0,1576890.62,1_195_6,2,FALSE
9,29-02-2016,1510391.667,351281.9755,-35416.36129,0,1012498.328,0,187008.8429,8525.925811,0.262142837,7460.989231,140.8981655,341.0581115,0,1531841.918,1_195_6,2,FALSE
10,07-03-2016,1588840,351524.714,-63175.51224,0,1108985.053,0,65568.99919,5122.92609,135316.8482,1565.44268,236.2468205,694.1170519,0,1605838.835,1_195_6,2,FALSE
11,14-03-2016,1605990,351767.4525,-87481.3537,0,1096204.074,0,108470.7889,53225.51105,2288.996708,262.3085932,185.9905001,350.1634331,0,1525273.932,1_195_6,2,FALSE
12,21-03-2016,1356010,352010.1911,-102971.6925,19115.77325,1003367.788,0,31110.5105,34905.50614,14.70246557,42.079765,171.4061955,557.4467341,0,1338323.712,1_195_6,2,FALSE
13,28-03-2016,2103936.667,352252.9296,-110903.8614,993888.9693,1000379.027,0,7566.43199,64127.02794,111184.1398,15367.16031,200.2842307,1212.191461,0,2435274.3,1_195_6,2,FALSE
14,04-04-2016,1120835,352495.6682,-122680.0895,0,829817.8474,0,1758.870664,43013.94803,1450.819703,4937.989106,127.879185,1303.394256,0,1112226.327,1_195_6,2,FALSE
15,11-04-2016,1141140,352738.4067,-148652.5625,0,836570.4732,0,404.4505167,65409.01535,9.282488117,935.1536036,117.2801976,190.7306683,0,1107722.23,1_195_6,2,FALSE
16,18-04-2016,1166880,352981.1453,-182536.4227,0,813144.0423,0,50165.1362,43991.84869,0.058995274,7115.528467,108.02401,1425.286187,0,1086394.647,1_195_6,2,FALSE
17,25-04-2016,888806.6667,353223.8839,-202908.7125,342813.5674,657123.3603,0,12675.32611,28315.22333,0.000374931,1471.219303,108.4866078,630.7409703,0,1193453.096,1_195_6,2,FALSE
18,02-05-2016,898873.3333,353466.6224,-195511.9558,-70004.46273,635240.0316,0,2975.014579,17668.92429,100523.0119,245.7294266,60.38886878,349.6034209,0,845012.908,1_195_6,2,FALSE
19,09-05-2016,889373.3333,353709.361,-172375.0516,0,652902.9137,0,685.6507278,56447.4098,1191.385931,39.39875901,69.11751257,51.37533664,0,892721.5612,1_195_6,2,FALSE
20,16-05-2016,1915375,353952.0996,-162737.9235,320208.1619,674585.1419,0,157.3509491,37264.02825,7.61343102,10310.93602,0.781145011,4712.19076,0,1238460.38,1_195_6,2,FALSE
21,23-05-2016,1006845,354194.8381,-182425.639,0,730816.4779,0,36.07535311,79195.77638,0.048387133,2463.750139,0.008626973,8532.920878,0,992814.2567,1_195_6,2,FALSE
22,30-05-2016,869198.3333,354437.5767,-215835.489,0,642644.3473,0,8.269024239,54850.74055,0.000307514,425.8998605,51.77204664,2457.977925,0,839041.0947,1_195_6,2,FALSE
23,06-06-2016,727250,354680.3153,-232391.6316,0,538810.5731,0,1.895289584,36091.32205,1.95E-06,68.6907142,50.58964498,442.9153114,0,697754.6698,1_195_6,2,FALSE
24,13-06-2016,753730,354923.0539,-219282.0945,0,558590.1154,0,0.434401945,22867.36974,1.24E-08,10.95008546,75.98447909,557.0587232,0,717742.8722,1_195_6,2,FALSE
25,20-06-2016,999196.6667,355165.7924,-192597.8293,0,668637.5839,0,93098.81187,78171.56795,7.89E-11,7354.085075,88.38531655,71.01631312,0,1009989.414,1_195_6,2,FALSE
26,27-06-2016,845843.3333,355408.531,-174789.4402,0,627420.1971,0,25783.26024,54021.84915,5.02E-13,1535.988723,78.72800007,70.05459632,0,889529.1685,1_195_6,2,FALSE
27,04-07-2016,1126016.667,355651.2696,-166999.8731,0,774608.6612,0,54026.47374,35485.55141,20784.34596,257.1145383,100.1460991,103.8765369,0,1074017.566,1_195_6,2,FALSE
28,11-07-2016,1140978.333,355894.0081,-150364.896,0,845049.7664,0,13759.4386,22456.67074,146.0998625,41.23952516,118.7332353,591.5590001,0,1087692.619,1_195_6,2,FALSE
29,18-07-2016,1242656.667,356136.7462,-113676.6765,0,848906.8559,0,10972.12755,104058.0099,18146.10489,10023.10862,74.35619787,466.0062758,0,1235106.639,1_195_6,2,FALSE
30,25-07-2016,1293483.333,356379.4842,-71434.16075,0,956011.2876,0,2566.96764,76160.80813,125.8603834,2361.860182,120.0701491,2456.530997,0,1324748.709,1_195_6,2,FALSE
31,01-08-2016,1484843.333,356622.2222,-48190.12891,0,975908.6935,0,125537.809,91528.1659,0.800341853,13665.95444,163.0736616,2541.059324,0,1517777.65,1_195_6,2,FALSE
