,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,train_size,rsq_train,rsq_val,rsq_test,nrmse_train,nrmse_val,nrmse_test,nrmse,decomp.rssd,MAPE_train,mape,lambda,lambda_hp,lambda_max,lambda_min_ratio,solID,trial,iterNG,iterPar,iterations,robynPareto,total_spend,mean_spend,mean_spend_adstocked,mean_carryover,mean_response,spend_share,effect_share,roi_mean,roi_total,cpa_total,cluster,top_sol,boot_mean,boot_se,ci_low,ci_up,carryover_pct
1,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,1,0.944927476,NA,NA,0.052384483,NA,NA,0.052384483,0.22064413,0.05823273,0,74669.67141,0.001040428,65481090.25,1.00E-04,2_139_2,2,139,2,1244,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
2,trend,0.350792317,98154126.4,0.33971789,625185.5185,0.188459948,98154126.4,0.33971789,625185.5185,0.188459948,TRUE,1,0.944927476,NA,NA,0.052384483,NA,NA,0.052384483,0.22064413,0.05823273,0,74669.67141,0.001040428,65481090.25,1.00E-04,2_139_2,2,139,2,1244,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
3,season,0.348132298,127447.6179,0.000441105,811.7682669,0.000244705,127447.6179,0.000441105,811.7682669,0.000244705,TRUE,1,0.944927476,NA,NA,0.052384483,NA,NA,0.052384483,0.22064413,0.05823273,0,74669.67141,0.001040428,65481090.25,1.00E-04,2_139_2,2,139,2,1244,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
4,holiday,1,6959499.542,0.024087286,278379.9817,0.083916654,6959499.542,0.024087286,278379.9817,0.083916654,TRUE,1,0.944927476,NA,NA,0.052384483,NA,NA,0.052384483,0.22064413,0.05823273,0,74669.67141,0.001040428,65481090.25,1.00E-04,2_139_2,2,139,2,1244,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
5,competitor_sales_B,0.184079856,160377168.7,0.555075934,1021510.629,0.30793074,160377168.7,0.555075934,1021510.629,0.30793074,TRUE,1,0.944927476,NA,NA,0.052384483,NA,NA,0.052384483,0.22064413,0.05823273,0,74669.67141,0.001040428,65481090.25,1.00E-04,2_139_2,2,139,2,1244,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
6,events,0.982825042,1250946.87,0.004329609,1250946.87,0.377093478,1250946.87,0.004329609,1250946.87,0.377093478,TRUE,1,0.944927476,NA,NA,0.052384483,NA,NA,0.052384483,0.22064413,0.05823273,0,74669.67141,0.001040428,65481090.25,1.00E-04,2_139_2,2,139,2,1244,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TRUE,NA,NA,NA,NA,NA
7,tv_S,380041.4152,4663375.803,0.016140251,29703.03059,0.008953873,4663375.803,0.016140251,29703.03059,0.008953873,TRUE,1,0.944927476,NA,NA,0.052384483,NA,NA,0.052384483,0.22064413,0.05823273,0,74669.67141,0.001040428,65481090.25,1.00E-04,2_139_2,2,139,2,1244,12,2591412.147,16505.80985,34066.04795,17560.2381,9235.801574,0.206047363,0.241244025,0.559548526,1.799550029,0.55569447,3,TRUE,1.812758887,0.07977603,1.293878015,2.326805331,0.240237352
8,ooh_S,236409.3226,9334549.927,0.032307492,59455.73202,0.017922719,9334549.927,0.032307492,59455.73202,0.017922719,TRUE,1,0.944927476,NA,NA,0.052384483,NA,NA,0.052384483,0.22064413,0.05823273,0,74669.67141,0.001040428,65481090.25,1.00E-04,2_139_2,2,139,2,1244,12,8239693.867,52482.12654,87487.7163,35005.58976,69737.91153,0.655151359,0.482891471,1.328793556,1.132875818,0.882709282,3,TRUE,1.128968062,0.015364291,1.029147174,1.228081565,0.71120027
9,print_S,279423.7411,3410996.194,0.011805682,21726.09041,0.006549253,3410996.194,0.011805682,21726.09041,0.006549253,TRUE,1,0.944927476,NA,NA,0.052384483,NA,NA,0.052384483,0.22064413,0.05823273,0,74669.67141,0.001040428,65481090.25,1.00E-04,2_139_2,2,139,2,1244,12,601634.9778,3832.069922,4533.282774,701.2128516,4977.763274,0.047836968,0.176456389,1.298975064,5.669544358,0.176381017,3,TRUE,6.112939239,0.089768095,5.532077129,6.6943801,0.010703474
10,facebook_S,5621.514514,122983.0052,0.000425652,783.3312433,0.000236132,122983.0052,0.000425652,783.3312433,0.000236132,TRUE,1,0.944927476,NA,NA,0.052384483,NA,NA,0.052384483,0.22064413,0.05823273,0,74669.67141,0.001040428,65481090.25,1.00E-04,2_139_2,2,139,2,1244,12,334078.022,2127.88549,2220.459173,92.57368222,306.8189136,0.026563083,0.006362111,0.144189579,0.368126596,2.71645681,3,TRUE,0.569459534,0.086969895,0.004406028,1.130478351,0.000484527
