,ds,dep_var,trend,season,holiday,competitor_sales_B,events,tv_S,ooh_S,print_S,facebook_S,search_S,newsletter,intercept,depVarHat,solID,cluster,top_sol
1,04-01-2016,2171506.667,330903.1244,157621.7993,0,1573537.382,0,34841.7963,88346.02716,8101.372194,15176.20945,4673.077159,45199.75621,0,2258400.545,3_201_3,1,FALSE
2,11-01-2016,2464131.667,331133.0521,115826.7562,0,1681338.634,0,13517.4078,66139.07141,199218.4235,15914.7668,6472.26258,39268.7415,0,2468829.116,3_201_3,1,FALSE
3,18-01-2016,2012520,331362.9797,76688.56832,0,1512439.793,0,2208.529864,46162.44867,3602.440544,15057.64149,2975.608684,38271.60319,0,2028769.614,3_201_3,1,FALSE
4,25-01-2016,1738911.667,331592.9074,54989.60098,0,1248880.097,0,351.8661729,30370.22679,55989.20252,13749.06711,2910.193111,32423.31147,0,1771256.473,3_201_3,1,FALSE
5,01-02-2016,1772306.667,331822.8351,45404.83593,0,1236404.368,0,46713.93058,49343.23288,429.7430311,2264.545771,2251.090405,23140.38454,0,1737774.967,3_201_3,1,FALSE
6,08-02-2016,1809058.333,332052.7627,34594.39536,0,1324942.198,0,8249.843438,32762.28186,5344.397222,14435.1322,2132.308986,22255.56783,0,1776768.888,3_201_3,1,FALSE
7,15-02-2016,1952740,332282.6904,16172.42566,0,1313752.262,0,213795.8512,20755.15595,1541.373529,9516.908311,0.140322846,34076.21995,0,1941893.027,3_201_3,1,FALSE
8,22-02-2016,1507805,332512.6181,-7750.473086,0,1134205.417,0,63695.82398,12725.79397,9.706980982,1376.750197,8.95E-06,36660.39924,0,1573436.036,3_201_3,1,FALSE
9,29-02-2016,1510391.667,332742.5457,-33879.86078,0,1029156.921,0,161993.5192,7638.447175,0.060823702,11765.66491,1338.642842,9446.9656,0,1520202.906,3_201_3,1,FALSE
10,07-03-2016,1588840,332972.4734,-60434.71101,0,1127231.138,0,39787.82654,4524.512593,111174.1454,1819.719422,2373.033313,14503.01246,0,1573951.15,3_201_3,1,FALSE
11,14-03-2016,1605990,333202.401,-83686.06983,0,1114239.874,0,77000.2035,47370.0482,1096.451372,215.5450647,1567.300171,10886.32368,0,1501892.077,3_201_3,1,FALSE
