,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,train_size,rsq_train,rsq_val,rsq_test,nrmse_train,nrmse_val,nrmse_test,nrmse,decomp.rssd,MAPE_train,mape,lambda,lambda_hp,lambda_max,lambda_min_ratio,solID,trial,iterNG,iterPar,iterations,robynPareto,total_spend,mean_spend,mean_spend_adstocked,mean_carryover,mean_response,spend_share,effect_share,roi_mean,roi_total,cpa_total,cluster,top_sol,boot_mean,boot_se,ci_low,ci_up,carryover_pct
1,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
2,trend,0.256687638,71822983.68,0.248554998,457471.2336,0.134730143,71822983.68,0.248554998,457471.2336,0.134730143,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
3,season,0.255542447,93551.4354,0.00032375,595.8690153,0.00017549,93551.4354,0.00032375,595.8690153,0.00017549,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
4,holiday,1,6959499.542,0.024084469,278379.9817,0.081985865,6959499.542,0.024084469,278379.9817,0.081985865,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
5,competitor_sales_B,0.213207605,185754339.5,0.642832798,1183148.659,0.348449861,185754339.5,0.642832798,1183148.659,0.348449861,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
6,events,1.044427747,1329355.241,0.004600448,1329355.241,0.391509254,1329355.241,0.004600448,1329355.241,0.391509254,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
7,tv_S,435813.7094,11366549.32,0.039335774,72398.40331,0.0213221,11366549.32,0.039335774,72398.40331,0.0213221,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,2591412.147,16505.80985,24088.15573,7582.345875,87762.51441,0.206047363,0.563764027,5.317068063,4.386237571,0.227985827,5,FALSE,4.403696779,0.097204292,3.59703182,5.211930108,0.347357995
8,ooh_S,192452.0204,3717022.414,0.012863354,23675.302,0.006972628,3717022.414,0.012863354,23675.302,0.006972628,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,8239693.867,52482.12654,83232.32233,30750.1958,23952.58628,0.655151359,0.184358812,0.456395117,0.451111713,2.216745811,5,FALSE,0.841679787,0.049075436,0.433979299,1.249291422,0.320821244
9,print_S,316483.3007,4398873.998,0.015223012,28018.30572,0.008251689,4398873.998,0.015223012,28018.30572,0.008251689,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,601634.9778,3832.069922,4536.14053,704.0706078,21958.8291,0.047836968,0.218177641,5.730278816,7.311533007,0.136770223,5,FALSE,7.86325819,0.07135073,7.271962059,8.457343575,0.072762465
10,facebook_S,27602.40994,658476.2365,0.002278763,4194.116156,0.001235212,658476.2365,0.002278763,4194.116156,0.001235212,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,334078.022,2127.88549,2372.455815,244.5703245,4735.928108,0.026563083,0.032659447,2.22564989,1.971025309,0.507350157,5,FALSE,1.661292502,0.125222007,0.626916843,2.707285932,0.094049437
11,search_S,535.1350714,20969.84608,7.26E-05,133.5658986,3.93E-05,20969.84608,7.26E-05,133.5658986,3.93E-05,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,809960,5158.980892,6199.108467,1040.127575,143.4004816,0.064401227,0.001040073,0.027796281,0.025889977,38.62498547,5,FALSE,0.068544337,0.028346338,0,0.304200424,0.107574927
12,newsletter,236609.2915,2840516.597,0.009830065,18092.4624,0.005328423,2840516.597,0.009830065,18092.4624,0.005328423,TRUE,1,0.951741463,NA,NA,0.049036814,NA,NA,0.049036814,0.618606968,0.050687659,0,18444.71967,0.000181698,65481090.25,1.00E-04,1_116_9,1,116,9,1044,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,0.002030806
13,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,1,0.951922212,NA,NA,0.048944896,NA,NA,0.048944896,0.539952336,0.048926795,0,7736.737245,1.82E-05,65481090.25,1.00E-04,1_152_2,1,152,2,1361,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
14,trend,0.196123851,54876815.47,0.189915254,349533.8565,0.102874131,54876815.47,0.189915254,349533.8565,0.102874131,TRUE,1,0.951922212,NA,NA,0.048944896,NA,NA,0.048944896,0.539952336,0.048926795,0,7736.737245,1.82E-05,65481090.25,1.00E-04,1_152_2,1,152,2,1361,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
