,ds,dep_var,trend,season,holiday,competitor_sales_B,events,tv_S,ooh_S,print_S,facebook_S,search_S,newsletter,intercept,depVarHat,solID,cluster,top_sol
1,04-01-2016,2171506.667,319912.9256,154663.4496,0,1584002.39,0,57358.56867,103586.8914,23131.71145,7225.926069,0,17037.52718,0,2266919.39,4_190_6,4,TRUE
2,11-01-2016,2464131.667,320135.2167,113652.8434,0,1692520.588,0,27075.14204,76334.17738,176905.7681,7612.11173,0,11621.70686,0,2425857.554,4_190_6,4,TRUE
3,18-01-2016,2012520,320357.5079,75249.22678,0,1522498.464,0,6220.947768,53309.75059,15839.22443,7120.352773,0,10686.5549,0,2011282.029,4_190_6,4,TRUE
4,25-01-2016,1738911.667,320579.799,53957.51994,0,1257185.931,0,1371.276526,35654.84041,92045.55134,6214.659536,0,6554.506568,0,1773564.084,4_190_6,4,TRUE
5,01-02-2016,1772306.667,320802.0902,44552.64808,0,1244627.231,0,71893.55082,56764.19476,6011.028717,1475.142942,0,2671.10548,0,1748796.991,4_190_6,4,TRUE
6,08-02-2016,1809058.333,321024.3813,33945.10497,0,1333753.892,0,18173.08369,38207.80537,34393.48091,5633.876637,0,2219.613444,0,1787351.239,4_190_6,4,TRUE
7,15-02-2016,1952740,321246.6724,15868.89092,0,1322489.536,0,232337.8822,24864.24969,18371.26436,3582.614165,0,6634.659242,0,1945395.769,4_190_6,4,TRUE
8,22-02-2016,1507805,321468.9636,-7605.007104,0,1141748.592,0,91555.5518,15803.68769,971.4859046,753.2960353,0,8734.812942,0,1573431.383,4_190_6,4,TRUE
9,29-02-2016,1510391.667,321691.2547,-33243.98125,0,1036001.458,0,186961.5401,9888.339057,49.16388177,3803.159108,0,465.8230501,0,1525616.756,4_190_6,4,TRUE
10,07-03-2016,1588840,321913.5458,-59300.43257,0,1134727.93,0,63618.08418,6124.828933,130281.9623,807.3929537,0,757.3687065,0,1598930.68,4_190_6,4,TRUE
11,14-03-2016,1605990,322135.837,-82115.39458,0,1121650.266,0,105789.5209,54476.44376,9689.562358,151.524825,0,399.1403268,0,1532176.901,4_190_6,4,TRUE
12,21-03-2016,1356010,322358.1281,-96655.58203,19115.77325,1026658.971,0,28932.73452,36513.43806,501.1558592,27.73269849,0,591.3581981,0,1338043.71,4_190_6,4,TRUE
