"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","MAPE_train","KL_Divergence","kl_div_obs_as_base","kl_div_obs_as_target","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,1,0.946404073915171,NA,NA,0.0516774486423414,NA,NA,0.0516774486423414,0.337671240863039,0.053590509103659,0.019619057309133,0.0338495117744149,0.00538860284385116,0,17609.3342745201,0.0001689393295,65481090.2533626,1e-04,"1_85_2",1,85,2,758,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"2","trend",0.272783857636964,76326817.7788235,0.264166884676181,486158.075024354,0.144613892744598,76326817.7788235,0.264166884676181,486158.075024354,0.144613892744598,TRUE,1,0.946404073915171,NA,NA,0.0516774486423414,NA,NA,0.0516774486423414,0.337671240863039,0.053590509103659,0.019619057309133,0.0338495117744149,0.00538860284385116,0,17609.3342745201,0.0001689393295,65481090.2533626,1e-04,"1_85_2",1,85,2,758,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"3","season",0.286676009333471,104949.109075477,0.00036322854798358,668.465662901127,0.000198843599735307,104949.109075477,0.00036322854798358,668.465662901127,0.000198843599735307,TRUE,1,0.946404073915171,NA,NA,0.0516774486423414,NA,NA,0.0516774486423414,0.337671240863039,0.053590509103659,0.019619057309133,0.0338495117744149,0.00538860284385116,0,17609.3342745201,0.0001689393295,65481090.2533626,1e-04,"1_85_2",1,85,2,758,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"4","holiday",1,6959499.54235704,0.0240868067936121,278379.981694281,0.0828076604774347,6959499.54235704,0.0240868067936121,278379.981694281,0.0828076604774347,TRUE,1,0.946404073915171,NA,NA,0.0516774486423414,NA,NA,0.0516774486423414,0.337671240863039,0.053590509103659,0.019619057309133,0.0338495117744149,0.00538860284385116,0,17609.3342745201,0.0001689393295,65481090.2533626,1e-04,"1_85_2",1,85,2,758,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.209394165667063,182431929.846289,0.631396355506499,1161986.81430758,0.345647733047517,182431929.846289,0.631396355506499,1161986.81430758,0.345647733047517,TRUE,1,0.946404073915171,NA,NA,0.0516774486423414,NA,NA,0.0516774486423414,0.337671240863039,0.053590509103659,0.019619057309133,0.0338495117744149,0.00538860284385116,0,17609.3342745201,0.0001689393295,65481090.2533626,1e-04,"1_85_2",1,85,2,758,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"6","events",1.01792468727139,1295621.95371497,0.00448414364951959,1295621.95371497,0.385399202188912,1295621.95371497,0.00448414364951959,1295621.95371497,0.385399202188912,TRUE,1,0.946404073915171,NA,NA,0.0516774486423414,NA,NA,0.0516774486423414,0.337671240863039,0.053590509103659,0.019619057309133,0.0338495117744149,0.00538860284385116,0,17609.3342745201,0.0001689393295,65481090.2533626,1e-04,"1_85_2",1,85,2,758,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"7","tv_S",405944.87867428,5475618.65192331,0.0189510995354858,34876.5519230784,0.0103744732386741,5475618.65192331,0.0189510995354858,34876.5519230784,0.0103744732386741,TRUE,1,0.946404073915171,NA,NA,0.0516774486423414,NA,NA,0.0516774486423414,0.337671240863039,0.053590509103659,0.019619057309133,0.0338495117744149,0.00538860284385116,0,17609.3342745201,0.0001689393295,65481090.2533626,1e-04,"1_85_2",1,85,2,758,49,2591412.14666667,16505.80985138,32992.6363928138,16486.8265414338,16152.4232845731,0.206047362680601,0.308262891133262,0.978590170976835,2.11298641127642,0.473263810246616,1,FALSE,2.05144936892342,0.0680056885141467,1.52077644493754,2.58925752811215,0.276132425339194
"8","ooh_S",195363.462360364,6690782.41912102,0.0231567776456644,42616.4485294332,0.0126768037669279,6690782.41912102,0.0231567776456644,42616.4485294332,0.0126768037669279,TRUE,1,0.946404073915171,NA,NA,0.0516774486423414,NA,NA,0.0516774486423414,0.337671240863039,0.053590509103659,0.019619057309133,0.0338495117744149,0.00538860284385116,0,17609.3342745201,0.0001689393295,65481090.2533626,1e-04,"1_85_2",1,85,2,758,49,8239693.86666667,52482.1265392781,81894.8455302959,29412.7189910178,51456.5900498565,0.655151359349006,0.376673406892093,0.980459319066385,0.812018325849252,1.23149930015945,1,FALSE,0.895085193510514,0.0227560732588153,0.71718657739416,1.0747218709207,0.628610479242372
"9","print_S",277508.885765389,3696493.35261796,0.0127935522743386,23544.5436472482,0.00700362348101095,3696493.35261796,0.0127935522743386,23544.5436472482,0.00700362348101095,TRUE,1,0.946404073915171,NA,NA,0.0516774486423414,NA,NA,0.0516774486423414,0.337671240863039,0.053590509103659,0.019619057309133,0.0338495117744149,0.00538860284385116,0,17609.3342745201,0.0001689393295,65481090.2533626,1e-04,"1_85_2",1,85,2,758,49,601634.977777778,3832.06992215145,4316.07960627649,484.009684125042,8889.74889420755,0.0478369682055284,0.208102828258986,2.3198295111527,6.14407986429159,0.162758301012954,1,FALSE,6.23949303894693,0.210397165345141,4.58727135540029,7.8929564537591,0.011346179468128
"10","facebook_S",17334.9657937238,431549.808620006,0.00149359257785509,2748.72489566883,0.000817643124053313,431549.808620006,0.00149359257785509,2748.72489566883,0.000817643124053313,TRUE,1,0.946404073915171,NA,NA,0.0516774486423414,NA,NA,0.0516774486423414,0.337671240863039,0.053590509103659,0.019619057309133,0.0338495117744149,0.00538860284385116,0,17609.3342745201,0.0001689393295,65481090.2533626,1e-04,"1_85_2",1,85,2,758,49,334078.021992166,2127.88549039596,2315.50478367947,187.619293283503,3792.91294125752,0.0265630827769259,0.0242951162470896,1.78247981781751,1.29176354088365,0.774135488694732,1,FALSE,1.99183820713594,0.256389226773946,0,3.99233762889989,0.219850449716335
