"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","MAPE_train","KL_Divergence","kl_div_obs_as_base","kl_div_obs_as_target","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",453032.413545013,71126088.9265671,0.246240566258313,453032.413545013,0.120011552507708,71126088.9265671,0.246240566258313,453032.413545013,0.120011552507708,TRUE,1,0.974388082956579,NA,NA,0.0358379983025748,NA,NA,0.0358379983025748,0.63426986858958,0.0405674704359275,0.00297115774738651,0.000559145077190237,0.00538317041758279,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,"1_51_2",1,51,2,452,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,1,0.974388082956579,NA,NA,0.0358379983025748,NA,NA,0.0358379983025748,0.63426986858958,0.0405674704359275,0.00297115774738651,0.000559145077190237,0.00538317041758279,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,"1_51_2",1,51,2,452,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"3","season",0.24042973907631,89699.6096115751,0.000310542629255321,571.335093067357,0.000151350785222207,89699.6096115751,0.000310542629255321,571.335093067357,0.000151350785222207,TRUE,1,0.974388082956579,NA,NA,0.0358379983025748,NA,NA,0.0358379983025748,0.63426986858958,0.0405674704359275,0.00297115774738651,0.000559145077190237,0.00538317041758279,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,"1_51_2",1,51,2,452,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"4","holiday",1,7831409.96434735,0.027112566616911,711946.360395214,0.188599723681255,7831409.96434735,0.027112566616911,711946.360395214,0.188599723681255,TRUE,1,0.974388082956579,NA,NA,0.0358379983025748,NA,NA,0.0358379983025748,0.63426986858958,0.0405674704359275,0.00297115774738651,0.000559145077190237,0.00538317041758279,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,"1_51_2",1,51,2,452,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.212635646057607,185256027.267161,0.641361696467356,1179974.69596918,0.312583804048275,185256027.267161,0.641361696467356,1179974.69596918,0.312583804048275,TRUE,1,0.974388082956579,NA,NA,0.0358379983025748,NA,NA,0.0358379983025748,0.63426986858958,0.0405674704359275,0.00297115774738651,0.000559145077190237,0.00538317041758279,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,"1_51_2",1,51,2,452,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"6","events",1.02017499884297,1281206.46256201,0.00443557363544616,1281206.46256201,0.339400828854155,1281206.46256201,0.00443557363544616,1281206.46256201,0.339400828854155,TRUE,1,0.974388082956579,NA,NA,0.0358379983025748,NA,NA,0.0358379983025748,0.63426986858958,0.0405674704359275,0.00297115774738651,0.000559145077190237,0.00538317041758279,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,"1_51_2",1,51,2,452,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"7","tv_S",475971.723711917,9396543.38881542,0.0325311035634417,59850.5948332192,0.0158548540671489,9396543.38881542,0.0325311035634417,59850.5948332192,0.0158548540671489,TRUE,1,0.974388082956579,NA,NA,0.0358379983025748,NA,NA,0.0358379983025748,0.63426986858958,0.0405674704359275,0.00297115774738651,0.000559145077190237,0.00538317041758279,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,"1_51_2",1,51,2,452,51,2591412.14666667,16505.80985138,31901.2484549314,15395.4386035514,49828.232510666,0.206047362680601,0.478458223457858,3.01882991257771,3.62603200764579,0.275783555658477,2,FALSE,3.28464613876134,0.22642682402003,0.674822017086978,5.8994988495028,0.376799248829364
"8","ooh_S",164845.784028813,2762999.98020353,0.00956558542674059,17598.7259885575,0.00466202939325594,2762999.98020353,0.00956558542674059,17598.7259885575,0.00466202939325594,TRUE,1,0.974388082956579,NA,NA,0.0358379983025748,NA,NA,0.0358379983025748,0.63426986858958,0.0405674704359275,0.00297115774738651,0.000559145077190237,0.00538317041758279,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,"1_51_2",1,51,2,452,51,8239693.86666667,52482.1265392781,60261.7417831382,7779.61524386004,13592.9490344793,0.655151359349006,0.140687911207414,0.259001491189695,0.335327989718299,2.98215487719971,2,FALSE,0.36486319964886,0.0093295596480653,0.257246231256486,0.472520787885767,0.0486654037145918
"9","print_S",210344.840970715,5666002.69880987,0.0196158643619013,36089.1891643941,0.00956028639644555,5666002.69880987,0.0196158643619013,36089.1891643941,0.00956028639644555,TRUE,1,0.974388082956579,NA,NA,0.0358379983025748,NA,NA,0.0358379983025748,0.63426986858958,0.0405674704359275,0.00297115774738651,0.000559145077190237,0.00538317041758279,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,"1_51_2",1,51,2,452,51,601634.977777778,3832.06992215145,6339.14514887415,2507.0752267227,39300.896094892,0.0478369682055284,0.288504556750816,10.2557878361539,9.41767501573469,0.106183320015741,2,FALSE,6.46356997702126,0.45168384640286,1.26296272616632,11.6853238491962,0.393712471249257
"10","facebook_S",62682.936546957,1564802.28812652,0.00541739054298899,9966.893554946,0.00264030195951815,1564802.28812652,0.00541739054298899,9966.893554946,0.00264030195951815,TRUE,1,0.974388082956579,NA,NA,0.0358379983025748,NA,NA,0.0358379983025748,0.63426986858958,0.0405674704359275,0.00297115774738651,0.000559145077190237,0.00538317041758279,0,19841.6938828506,0.0002030344073,65481090.2533626,1e-04,"1_51_2",1,51,2,452,51,334078.021992166,2127.88549039596,2881.65583477363,753.770344377668,4525.92329655145,0.0265630827769259,0.0796774400819525,2.12695810793336,4.68394262751955,0.213495356267753,2,FALSE,4.67174847009374,0.304475797880312,1.15175572718089,8.17737053276534,0.0508776738349802
