"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","MAPE_train","KL_Divergence","kl_div_obs_as_base","kl_div_obs_as_target","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"2","trend",0.205860081471132,57601080.4396354,0.199350219460936,366885.862672837,0.108059079028524,57601080.4396354,0.199350219460936,366885.862672837,0.108059079028524,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"3","season",0.210303338918992,76989.8677830152,0.000266452415851762,490.381323458695,0.000144432259667057,76989.8677830152,0.000266452415851762,490.381323458695,0.000144432259667057,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"4","holiday",1,6959499.54235704,0.0240859676679346,278379.981694281,0.0819913970593246,6959499.54235704,0.0240859676679346,278379.981694281,0.0819913970593246,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.226096000680787,196983185.292311,0.681734455646002,1254669.97001472,0.36953858199065,196983185.292311,0.681734455646002,1254669.97001472,0.36953858199065,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"6","events",1.04433716546705,1329239.94827805,0.00460033515661517,1329239.94827805,0.391501715472025,1329239.94827805,0.00460033515661517,1329239.94827805,0.391501715472025,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"7","tv_S",470541.844978825,12046724.2886483,0.041692223694383,76730.7279531739,0.0225995401823426,12046724.2886483,0.041692223694383,76730.7279531739,0.0225995401823426,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,2591412.14666667,16505.80985138,28988.2578872796,12482.4480358996,87397.0736886755,0.206047362680601,0.626904437213286,5.29492793601813,4.64871028105043,0.215113427067354,2,FALSE,4.07501779202083,0.119364008978804,3.27857760209636,4.87523054283039,0.449140117641014
"8","ooh_S",201615.556726725,1995492.05035017,0.0069061513279555,12710.1404480903,0.00374352410621111,1995492.05035017,0.0069061513279555,12710.1404480903,0.00374352410621111,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,8239693.86666667,52482.1265392781,73593.1456520396,21111.0191127615,3176.80069691282,0.655151359349006,0.103844231080076,0.0605310970876013,0.242180362843679,4.12915394236763,2,FALSE,0.315460765190797,0.0289361027055104,0.121151884145339,0.508210880181064,0.0548455777686583
"9","print_S",270398.854145184,3180929.41751293,0.0110088035264459,20260.6969268339,0.00596739333164776,3180929.41751293,0.0110088035264459,20260.6969268339,0.00596739333164776,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,601634.977777778,3832.06992215145,4706.78850567673,874.718583525275,5567.00117566974,0.0478369682055284,0.165533693518678,1.45273997833115,5.28714176370219,0.189138109907568,2,FALSE,5.47935729052774,0.226550264317592,3.96307213332445,6.99348430564842,0.0206476642606853
"10","facebook_S",27912.5867736258,499072.057139282,0.00172722670057899,3178.80291171517,0.000936254432238617,499072.057139282,0.00172722670057899,3178.80291171517,0.000936254432238617,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,334078.021992166,2127.88549039596,2456.37518791375,328.489697517783,1742.39559395369,0.0265630827769259,0.0259714159312668,0.818838984436828,1.49387874773452,0.669398370862769,2,FALSE,3.23275780078348,0.457755626293126,0.159691770760513,6.28278425995675,0.0207502348957775
"11","search_S",46609.8857174198,1493987.35822268,0.00517050557837488,9515.84304600433,0.00280270607387277,1493987.35822268,0.00517050557837488,9515.84304600433,0.00280270607387277,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,809960,5158.98089171975,6105.11270655519,946.131814835443,7075.7300300339,0.0644012269879381,0.077746222256693,1.37153639033449,1.84451992471564,0.542146488417123,2,FALSE,1.65283373085747,0.215623394207502,0.206639492948503,3.09089019295301,0.012025679903135
"12","newsletter",149460.850619984,6777953.37548988,0.0234576588249228,43171.677550891,0.0127153760634971,6777953.37548988,0.0234576588249228,43171.677550891,0.0127153760634971,TRUE,1,0.950459633940578,NA,NA,0.0496837971478611,NA,NA,0.0496837971478611,0.703627163334505,0.0491385034736365,0.0175874644118745,0.0301767207743122,0.00499820804943672,0,7081.8671091429,8.15214687e-06,65481090.2533626,1e-04,"1_159_1",1,159,1,1423,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.446612629876046
"13","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,1,0.95016346712951,NA,NA,0.0498320879886563,NA,NA,0.0498320879886563,0.699193271774865,0.0489732935606267,0.00545509463162202,NA,0.00545509463162202,0,6650.26063909386,1.560173014e-06,65481090.2533626,1e-04,"1_162_2",1,162,2,1451,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"14","trend",0.234934867122992,65736407.3817497,0.227542588812829,418703.23173089,0.123445384949453,65736407.3817497,0.227542588812829,418703.23173089,0.123445384949453,TRUE,1,0.95016346712951,NA,NA,0.0498320879886563,NA,NA,0.0498320879886563,0.699193271774865,0.0489732935606267,0.00545509463162202,NA,0.00545509463162202,0,6650.26063909386,1.560173014e-06,65481090.2533626,1e-04,"1_162_2",1,162,2,1451,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"15","season",0.232338114150055,85056.5701016192,0.000294418160762396,541.761593003944,0.00015972642036397,85056.5701016192,0.000294418160762396,541.761593003944,0.00015972642036397,TRUE,1,0.95016346712951,NA,NA,0.0498320879886563,NA,NA,0.0498320879886563,0.699193271774865,0.0489732935606267,0.00545509463162202,NA,0.00545509463162202,0,6650.26063909386,1.560173014e-06,65481090.2533626,1e-04,"1_162_2",1,162,2,1451,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"16","holiday",1,6959499.54235704,0.0240898857388618,278379.981694281,0.082074179032273,6959499.54235704,0.0240898857388618,278379.981694281,0.082074179032273,TRUE,1,0.95016346712951,NA,NA,0.0498320879886563,NA,NA,0.0498320879886563,0.699193271774865,0.0489732935606267,0.00545509463162202,NA,0.00545509463162202,0,6650.26063909386,1.560173014e-06,65481090.2533626,1e-04,"1_162_2",1,162,2,1451,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"17","competitor_sales_B",0.225223821899064,196223310.928983,0.679215094535292,1249830.00591709,0.368484727390344,196223310.928983,0.679215094535292,1249830.00591709,0.368484727390344,TRUE,1,0.95016346712951,NA,NA,0.0498320879886563,NA,NA,0.0498320879886563,0.699193271774865,0.0489732935606267,0.00545509463162202,NA,0.00545509463162202,0,6650.26063909386,1.560173014e-06,65481090.2533626,1e-04,"1_162_2",1,162,2,1451,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"18","events",1.04186607958467,1326094.73217439,0.00459019651952853,1326094.73217439,0.390969694731002,1326094.73217439,0.00459019651952853,1326094.73217439,0.390969694731002,TRUE,1,0.95016346712951,NA,NA,0.0498320879886563,NA,NA,0.0498320879886563,0.699193271774865,0.0489732935606267,0.00545509463162202,NA,0.00545509463162202,0,6650.26063909386,1.560173014e-06,65481090.2533626,1e-04,"1_162_2",1,162,2,1451,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"19","tv_S",507881.303724,9691774.2352232,0.0335474889411802,61731.0460842242,0.0182000332686644,9691774.2352232,0.0335474889411802,61731.0460842242,0.0182000332686644,TRUE,1,0.95016346712951,NA,NA,0.0498320879886563,NA,NA,0.0498320879886563,0.699193271774865,0.0489732935606267,0.00545509463162202,NA,0.00545509463162202,0,6650.26063909386,1.560173014e-06,65481090.2533626,1e-04,"1_162_2",1,162,2,1451,51,2591412.14666667,16505.80985138,24381.5595984895,7875.74974710944,66441.0800311114,0.206047362680601,0.620689886054271,4.02531476064207,3.73995863517493,0.267382636426733,2,FALSE,4.07501779202083,0.119364008978804,3.27857760209636,4.87523054283039,0.310562841829847
"20","ooh_S",306362.496399104,1689836.68100048,0.00584926722315038,10763.2909617865,0.00317331822495863,1689836.68100048,0.00584926722315038,10763.2909617865,0.00317331822495863,TRUE,1,0.95016346712951,NA,NA,0.0498320879886563,NA,NA,0.0498320879886563,0.699193271774865,0.0489732935606267,0.00545509463162202,NA,0.00545509463162202,0,6650.26063909386,1.560173014e-06,65481090.2533626,1e-04,"1_162_2",1,162,2,1451,51,8239693.86666667,52482.1265392781,86480.458259021,33998.3317197429,3234.11929147329,0.655151359349006,0.108222138849313,0.0616232516617413,0.205084886446649,4.87602971299468,2,FALSE,0.315460765190797,0.0289361027055104,0.121151884145339,0.508210880181064,0.113022731653887
"21","print_S",338597.618670711,2829838.7425141,0.00979531524525125,18024.4505892618,0.00531411050326906,2829838.7425141,0.00979531524525125,18024.4505892618,0.00531411050326906,TRUE,1,0.95016346712951,NA,NA,0.0498320879886563,NA,NA,0.0498320879886563,0.699193271774865,0.0489732935606267,0.00545509463162202,NA,0.00545509463162202,0,6650.26063909386,1.560173014e-06,65481090.2533626,1e-04,"1_162_2",1,162,2,1451,51,601634.977777778,3832.06992215145,5257.05111723795,1424.9811950865,4060.78044487565,0.0478369682055284,0.181231242496291,1.05968328537069,4.70358082066056,0.212603979420845,2,FALSE,5.47935729052774,0.226550264317592,3.96307213332445,6.99348430564842,0.0380727676708842
"22","facebook_S",18814.2749110677,361149.705178161,0.00125009780939205,2300.31659349147,0.000678197457935265,361149.705178161,0.00125009780939205,2300.31659349147,0.000678197457935265,TRUE,1,0.95016346712951,NA,NA,0.0498320879886563,NA,NA,0.0498320879886563,0.699193271774865,0.0489732935606267,0.00545509463162202,NA,0.00545509463162202,0,6650.26063909386,1.560173014e-06,65481090.2533626,1e-04,"1_162_2",1,162,2,1451,51,334078.021992166,2127.88549039596,2334.96592575931,207.080435363347,1006.47129053113,0.0265630827769259,0.023129095242529,0.472991284105161,1.08103401422387,0.925040273333078,2,FALSE,3.23275780078348,0.457755626293126,0.159691770760513,6.28278425995675,0.00488703438279219
