"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,23,2.05944827981107,0.307482125077976,"[0, 5.13]",0,5.12926050629805,1.44221900532974,0.0809464496662376
"2","facebook_S",2,8,3.23275780078348,0.457755626293126,"[0.16, 6.28]",0.159691770760513,6.28278425995675,1.21110754841223,0.0863162382426333
"3","facebook_S",3,31,2.4484314079672,0.216069451505204,"[0, 4.91]",0,4.91302204498627,1.18346112577169,0.0735347908740368
"4","facebook_S",4,38,2.27640740920447,0.175090563240632,"[0.09, 4.46]",0.0853274130783888,4.45919095234207,1.06503431748893,0.0656962845882983
"5","ooh_S",1,23,0.590837880182876,0.0271145096388072,"[0.32, 0.86]",0.320186353099609,0.859545241487579,0.127178323329745,0.00801732863684303
"6","ooh_S",2,8,0.315460765190797,0.0289361027055104,"[0.12, 0.51]",0.121151884145339,0.508210880181064,0.0765577316702039,0.00545630767046599
"7","ooh_S",3,31,0.479530373535026,0.0224187704648098,"[0.22, 0.73]",0.224116962747376,0.733959789298179,0.122792662951069,0.00763058739851456
"8","ooh_S",4,38,0.530490335344672,0.0325969802133028,"[0.12, 0.94]",0.124404067524362,0.938695486811876,0.198279689842351,0.0122308161512345
"9","print_S",1,23,7.73956179991989,0.263151705300625,"[5.11, 10.34]",5.1102943476532,10.344879561955,1.23429090576646,0.0778097679377244
"10","print_S",2,8,5.47935729052774,0.226550264317592,"[3.96, 6.99]",3.96307213332445,6.99348430564842,0.599395658840298,0.0427192271717632
"11","print_S",3,31,6.98952502745172,0.0968595084321484,"[5.89, 8.09]",5.88934537705464,8.09210335768892,0.530521376771495,0.0329676841836088
"12","print_S",4,38,6.181110316838,0.112170435312818,"[4.78, 7.58]",4.77976574734118,7.58184809899709,0.682306120928048,0.0420878241768889
"13","search_S",1,23,2.27498045837666,0.10822089704111,"[1.19, 3.35]",1.19411373867047,3.34683209891332,0.507601001023852,0.0319991955786925
"14","search_S",2,8,1.65283373085747,0.215623394207502,"[0.21, 3.09]",0.206639492948503,3.09089019295301,0.570485877920694,0.0406588126853121
"15","search_S",3,31,0.861441587773046,0.109455142637619,"[0, 2.11]",0,2.10893503964115,0.599510506575697,0.033413697502955
"16","search_S",4,38,1.40342823270869,0.13862925028654,"[0, 3.13]",0,3.12959892623927,0.843248809246299,0.0486474398457765
"17","tv_S",1,23,3.82034181011035,0.0947329678852262,"[2.88, 4.76]",2.87565103970356,4.76006897434103,0.444337005543712,0.0280110297547969
"18","tv_S",2,8,4.07501779202083,0.119364008978804,"[3.28, 4.88]",3.27857760209636,4.87523054283039,0.315807483249596,0.0225077566387194
"19","tv_S",3,31,3.96048318106226,0.0687140881278085,"[3.18, 4.74]",3.17944044483607,4.74212136750013,0.376362560859986,0.023387939842263
"20","tv_S",4,38,4.101693141777,0.082177253186405,"[3.08, 5.13]",3.07982454946843,5.13265986404149,0.499864716525094,0.0308339873497298
